id,value
id_0,9.692891
id_1,18.54164
id_2,24.29583
id_3,10.358801
id_4,27.292938
id_5,22.576323
id_6,22.034544
id_7,30.142681
id_8,16.39867
id_9,61.19623
id_10,11.578638
id_11,10.863884
id_12,63.443214
id_13,52.59191
id_14,22.534706
id_15,12.492281
id_16,32.131012
id_17,70.763885
id_18,0.30278587
id_19,15.847557
id_20,42.172768
id_21,75.27014
id_22,10.512545
id_23,17.40201
id_24,15.3237705
id_25,40.18473
id_26,13.974106
id_27,63.862965
id_28,6.8906
id_29,56.494297
id_30,28.313179
id_31,10.816848
id_32,7.7342625
id_33,18.272034
id_34,27.789135
id_35,37.440773
id_36,43.891792
id_37,31.09917
id_38,43.414875
id_39,36.037575
id_40,9.3897705
id_41,41.85174
id_42,30.803478
id_43,52.048603
id_44,17.810707
id_45,35.447426
id_46,24.98207
id_47,11.322123
id_48,26.897474
id_49,32.78288
id_50,22.856148
id_51,7.352912
id_52,18.442522
id_53,53.308853
id_54,14.867882
id_55,35.74231
id_56,34.835567
id_57,20.213242
id_58,57.43635
id_59,23.151821
id_60,16.991764
id_61,41.0064
id_62,12.201236
id_63,49.398106
id_64,13.616587
id_65,15.680005
id_66,13.924855
id_67,4.1678886
id_68,47.115776
id_69,26.503702
id_70,20.327263
id_71,41.74885
id_72,59.840366
id_73,6.2005577
id_74,16.536118
id_75,5.2230988
id_76,40.40644
id_77,14.943737
id_78,19.406723
id_79,21.903519
id_80,23.37223
id_81,43.940468
id_82,20.11801
id_83,91.26784
id_84,37.611702
id_85,29.323637
id_86,22.475927
id_87,34.818966
id_88,23.467571
id_89,19.09305
id_90,29.501404
id_91,43.09289
id_92,6.667921
id_93,40.128803
id_94,46.925766
id_95,17.051834
id_96,32.71934
id_97,12.861607
id_98,22.640707
id_99,4.006695
id_100,16.070995
id_101,26.93264
id_102,5.095377
id_103,15.135252
id_104,23.561045
id_105,40.188644
id_106,32.062603
id_107,6.6274424
id_108,5.1333447
id_109,80.10573
id_110,48.29404
id_111,15.506088
id_112,26.00246
id_113,17.332287
id_114,13.344873
id_115,25.074608
id_116,27.260036
id_117,9.883324
id_118,16.925777
id_119,19.24544
id_120,85.52908
id_121,28.077374
id_122,37.545418
id_123,25.928007
id_124,9.118143
id_125,39.892548
id_126,10.526264
id_127,20.177681
id_128,29.12109
id_129,64.683914
id_130,21.795465
id_131,23.977373
id_132,57.72756
id_133,16.343397
id_134,14.305479
id_135,3.3336983
id_136,13.862976
id_137,60.465786
id_138,20.589891
id_139,8.58853
id_140,30.243233
id_141,26.209236
id_142,45.65051
id_143,28.891956
id_144,18.294807
id_145,29.396694
id_146,11.523371
id_147,51.1179
id_148,20.893198
id_149,39.474346
id_150,8.674538
id_151,8.611338
id_152,23.440166
id_153,6.4764013
id_154,14.881428
id_155,42.257145
id_156,8.745895
id_157,37.121624
id_158,13.286037
id_159,18.769743
id_160,41.856903
id_161,18.459017
id_162,12.707464
id_163,6.33276
id_164,52.521973
id_165,31.909824
id_166,3.4418736
id_167,14.8297205
id_168,61.972298
id_169,14.789993
id_170,67.98034
id_171,40.198612
id_172,25.840023
id_173,20.860346
id_174,60.92413
id_175,24.994959
id_176,19.426046
id_177,35.864265
id_178,12.407631
id_179,31.59914
id_180,16.52666
id_181,10.390333
id_182,57.738884
id_183,45.51751
id_184,15.842075
id_185,35.087677
id_186,26.074516
id_187,70.56508
id_188,9.676592
id_189,55.35221
id_190,37.62488
id_191,15.131569
id_192,31.866552
id_193,1.1921158
id_194,19.3353
id_195,0.38420868
id_196,34.383106
id_197,11.022936
id_198,18.296276
id_199,59.67861
id_200,22.936888
id_201,28.00904
id_202,64.71513
id_203,10.255275
id_204,7.9086246
id_205,11.708092
id_206,7.340371
id_207,1.3588066
id_208,118.57695
id_209,19.677862
id_210,17.276915
id_211,13.31941
id_212,36.343033
id_213,36.543846
id_214,17.449625
id_215,36.40064
id_216,83.97611
id_217,1.9897385
id_218,12.712871
id_219,30.916168
id_220,15.114495
id_221,12.746786
id_222,110.36188
id_223,14.938539
id_224,16.933716
id_225,65.53534
id_226,15.653869
id_227,19.241726
id_228,10.411236
id_229,8.244856
id_230,44.75063
id_231,12.2786
id_232,55.718075
id_233,41.721485
id_234,22.031334
id_235,40.54083
id_236,74.49524
id_237,39.831703
id_238,9.71443
id_239,17.357964
